Offer,Company Name,Product Details,Pack Details,Discounted Price,Original Price
18% OFF,Tasties,"Tasties
Brown Bread
400 g",400 g,₹49,₹60
9% OFF,Nandini,"Nandini
GoodLife UHT Treated Toned Milk
4.1
10466 Ratings
500 ml - Carton",No Pack Details,₹32,₹35
No Offer,fresho!,"fresho!
Brown Bread
3.6
16532 Ratings
400 g",No Pack Details,₹65,No Original Price
₹15 OFF,Milky Mist,"Milky Mist
Paneer - Rich In Calcium
3.9
22770 Ratings
500 g - Pouch",No Pack Details,₹222.32,₹237.32
25% OFF,Organic Mandya,"Organic Mandya
High Protein Paneer
200 g",200 g,₹120,₹160
₹12 OFF,Amul Taaza,"Amul Taaza
Homogenised Toned Milk
4.1
42106 Ratings
6x1 L - Multipack",No Pack Details,₹432,₹444
24% OFF,Tasties,"Tasties
Sandwich Bread
400 g",No Pack Details,₹42,₹55
No Offer,Nandini,"Nandini
Pasteurised Toned Milk
1 L - Pouch",No Pack Details,₹44,No Original Price
No Offer,Nandini,"Nandini
Shubham Milk
1050 ml - Pouch",No Pack Details,₹50,No Original Price
No Offer,fresho! Signature,"fresho! Signature
Bread - Sour Dough With Olives, Pre Sliced
3
849 Ratings
300 g",300 g,₹99,No Original Price
No Offer,Amul,"Amul
Butter - Pasteurized
4.1
112018 Ratings
2x500 g - Multipack",No Pack Details,₹550,No Original Price
16% OFF,Milky Mist,"Milky Mist
Farm Fresh Curd - No Preservatives
3.9
9738 Ratings
2x1 kg - Multipack",No Pack Details,₹228,₹270
30% OFF,Nandini,"Nandini
Slim Skimmed Milk
4
3143 Ratings
1 L - Carton",No Pack Details,₹49.7,₹71
No Offer,Amul,"Amul
Pure Milk Cheese Slices
4
3545 Ratings
750 g - (50 pcs)",No Pack Details,₹440,No Original Price
No Offer,fresho!,"fresho!
Whole Wheat Pizza Base - Preservative Free
3.6
4092 Ratings
250 g - (3 pcs)",250 g - (3 pcs),₹52,No Original Price
₹10 OFF,iD fresho!,"iD fresho!
Soft & Creamy Paneer
3.8
5401 Ratings
2x200g - (Multipack)",No Pack Details,₹260,₹270
₹6 OFF,Akshayakalpa,"Akshayakalpa
Organic Malai Paneer
3.8
643 Ratings
2 x 200 g - Multipack",No Pack Details,₹213.71,₹220
