Offer,Company Name,Product Details,Pack Details,Discounted Price,Original Price
10% OFF,fresho!,"fresho!
Farm Eggs, Regular
30 pcs",No Pack Details,₹269,₹300
No Offer,Farm Made,"Farm Made
Free Range Eggs
3.8
3734 Ratings
24 pcs",No Pack Details,₹569,No Original Price
17% OFF,fresho!,"fresho!
Chicken Curry Cut Without Skin
1 kg - (22-28 pcs)",No Pack Details,₹259,₹311
30% OFF,Eggoz,"Eggoz
Farm Fresh White Eggs
3.1
2136 Ratings
30 pcs",No Pack Details,₹293.3,₹419
23% OFF,fresho!,"fresho!
Chicken Breast Boneless
500 g - (2-4 pcs)",No Pack Details,₹189,₹246
₹16 OFF,Abhi Eggs,"Abhi Eggs
Nutri+ With Immunity Boosters
3.2
69 Ratings
24 pcs",No Pack Details,₹308.75,₹325
49% OFF,fresho!,"fresho!
Farm Eggs-Medium, Brown
10 pcs",No Pack Details,₹133,₹260
No Offer,UPF,"UPF
The Good Eggs Cage Free Eggs
3.8
855 Ratings
6 pcs",6 pcs,₹129,No Original Price
No Offer,SKM Best,"SKM Best
Plus Eggs
3.6
2687 Ratings
12 pcs",No Pack Details,₹175,No Original Price
28% OFF,fresho!,"fresho!
Rohu Fish Curry Cut/Bengali Cut With Head
450 g - (6-8 pcs)",No Pack Details,₹149,₹207
No Offer,fresho!,"fresho!
Duck Eggs
5x6 pcs - Multipack",No Pack Details,₹750,No Original Price
₹65 OFF,Prasuma,"Prasuma
Original Chicken Momos
4.1
2260 Ratings
2 x 24 pcs - Multipack",No Pack Details,₹585,₹650
No Offer,Ayur Egg,"Ayur Egg
Free Range Brown Eggs
3.5
468 Ratings
6 pcs",6 pcs,₹107,No Original Price
23% OFF,fresho!,"fresho!
Chicken Soup Pieces
900 g - (16-25)",900 g - (16-25),₹109,₹142
15% OFF,Best Buy,"Best Buy
Eggs - Wholesome, Rich In Protein, Vitamins & Amino Acids
3
288 Ratings
12 pcs",No Pack Details,₹110,₹130
28% OFF,fresho!,"fresho!
Chicken Leg Boneless
450 g - (4-6 pcs)",No Pack Details,₹159,₹220
No Offer,SKM Best,"SKM Best
Egg White - Liquid
4
130 Ratings
250 ml",250 ml,₹105,No Original Price
23% OFF,fresho!,"fresho!
Chicken Mince
900 g",No Pack Details,₹429,₹558
₹17 OFF,Tasty Nibbles,"Tasty Nibbles
Tuna Chunks - Light Meat, in Water
4.3
139 Ratings
185 g - Canned light meat tuna chunks with water as base",185 g - Canned light meat tuna chunks with water as base,₹153,₹170
20% OFF,fresho!,"fresho!
Chicken Thigh Boneless Without Skin
450 g - (5-7 pcs)",No Pack Details,₹279,₹350
₹16 OFF,Tasty Nibbles,"Tasty Nibbles
Light Meat Tuna Flakes In Sunflower Oil
4.6
205 Ratings
185 g - Canned light meat tuna flakes with sunflower oil as base",185 g - Canned light meat tuna flakes with sunflower oil as base,₹144,₹160
No Offer,Sam's Fresh,"Sam's Fresh
Organic Eggs - Easy To Digest
3.5
369 Ratings
12 pcs",No Pack Details,₹200,No Original Price
No Offer,Big Sams's,"Big Sams's
Frozen Salmon Skin-on Portions
3.4
49 Ratings
250 g",250 g,₹1600,No Original Price
₹39 OFF,Meatzza,"Meatzza
Chicken Chapli Kebab
4.1
140 Ratings
500 g",No Pack Details,₹351,₹390
No Offer,UPF,"UPF
Healthy Brown Eggs - Large, Rich In Protein, Great For Bones
3.6
233 Ratings
30 pcs",No Pack Details,₹430,No Original Price
23% OFF,fresho!,"fresho!
Basa Fish Fillet
900 g - (4-5 pcs)",No Pack Details,₹649,₹844
24% OFF,fresho!,"fresho!
Prawns-Medium
250 g",250 g,₹265,₹350
No Offer,Ayur Plus,"Ayur Plus
Eggs
3.7
1398 Ratings
6 pcs",6 pcs,₹88,No Original Price
32% OFF,fresho!,"fresho!
Rohu Fish Steak-Large
450 g - (6-8 pcs)",No Pack Details,₹159,₹233
No Offer,Abhi Eggs,"Abhi Eggs
Gold+ - With Immunity Boosters
3.6
787 Ratings
6 pcs",6 pcs,₹98,No Original Price
24% OFF,fresho!,"fresho!
Mutton Curry Cut From Whole Carcass
900 g - (24-32 pcs)",No Pack Details,₹889,₹1169
23% OFF,fresho!,"fresho!
Chilli Chicken Boneless Pieces
900 g - (28-34 pcs)",No Pack Details,₹429,₹558
₹25 OFF,fresho!,"fresho!
Chicken Seekh Kabab/Kebab, Angara/Spicy
4
105 Ratings
500 g",500 g,₹330,₹355
33% OFF,fresho!,"fresho!
Chicken Gizzard
450 g - (18-25 pcs)",No Pack Details,₹69,₹103
₹31 OFF,fresho!,"fresho!
Country & White Egg Combo
30 pcs - (15 Each)",30 pcs - (15 Each),₹319,₹350
No Offer,fresho!,"fresho!
Farm Quail Eggs-Small
12 pcs",12 pcs,₹85,No Original Price
26% OFF,fresho!,"fresho!
Chicken Drumstick Without Skin
900 g - (8-14 pcs)",No Pack Details,₹259,₹350
20% OFF,Abhi Eggs,"Abhi Eggs
With Vitamin D3
3.3
123 Ratings
24 pcs",No Pack Details,₹292,₹365
No Offer,Meatigo,"Meatigo
The Desi Chicken Burger Patty - Juicy & Soft
2.8
4 Ratings
130 g",130 g,₹170,No Original Price
₹16 OFF,Tasty Nibbles,"Tasty Nibbles
Light Meat Tuna Flakes
4.4
214 Ratings
185 g",185 g,₹144,₹160
No Offer,Happy Hens Farms,"Happy Hens Farms
Free Range Eggs - Omega 3
3.1
163 Ratings
6 pcs - Carton",6 pcs - Carton,₹150,No Original Price
No Offer,Big Sams's,"Big Sams's
Atlantic Salmon - Skinless Fillet
4
59 Ratings
300 g - Pouch",300 g - Pouch,₹1950,No Original Price
No Offer,Gadre,"Gadre
Imitation - Crab Claw
4.2
184 Ratings
1 kg - Carton",No Pack Details,₹600,No Original Price
₹42 OFF,Ifb,"Ifb
Fresh Catch Basa Fish Fillets
4
441 Ratings
1 kg - Approx 2 - 3 pcs",1 kg - Approx 2 - 3 pcs,₹487.6,₹530
30% OFF,Eggoz,"Eggoz
Farm Fresh Brown Eggs
2.8
337 Ratings
10 pcs",No Pack Details,₹112,₹160
