Offer,Company Name,Product Details,Pack Details,Discounted Price,Original Price
39% OFF,fresho!,"fresho!
Carrot - Red
500 g",No Pack Details,₹13.5,₹22.02
34% OFF,fresho!,"fresho!
Onion (Loose)
2 kg",No Pack Details,₹78,₹117.93
20% OFF,fresho!,"fresho!
Pomegranate
1 kg",No Pack Details,₹242.19,₹302.74
34% OFF,fresho!,"fresho!
Potato
1 kg",No Pack Details,₹25.2,₹38.36
59% OFF,fresho!,"fresho!
Ladies' Fingers (Loose)
1 kg",No Pack Details,₹46.8,₹113.7
61% OFF,fresho!,"fresho!
Tomato - Local
2 x 1 kg - Multipack",No Pack Details,₹34,₹87.67
41% OFF,fresho!,"fresho!
Potato
1 kg",No Pack Details,₹30,₹50.68
47% OFF,fresho!,"fresho!
Cucumber (Loose)
1 kg",No Pack Details,₹24,₹45.21
59% OFF,fresho!,"fresho!
Ginger - Organically Grown (Loose)
100 g",No Pack Details,₹4.5,₹10.96
20% OFF,fresho!,"fresho!
Coriander Leaves With Roots - Enhances Flavour Of The Dishes
100 g",No Pack Details,₹4.06,₹5.07
23% OFF,fresho!,"fresho!
Capsicum - Green (Loose)
1 kg",No Pack Details,₹69,₹89.04
20% OFF,fresho!,"fresho!
Cauliflower
1 pc - (approx. 400 to 600 g)",1 pc - (approx. 400 to 600 g),₹42.74,₹53.42
61% OFF,fresho!,"fresho!
Bottle Gourd (Loose)
1 pc - (Approx. 500 g - 800 g)",1 pc - (Approx. 500 g - 800 g),₹15,₹38.36
42% OFF,fresho!,"fresho!
Banana - Yelakki
250 g",No Pack Details,₹24.5,₹42.47
20% OFF,fresho!,"fresho!
Coriander Leaves
100 g",No Pack Details,₹3.52,₹4.4
36% OFF,fresho!,"fresho!
Tomato - Hybrid
2 kg",No Pack Details,₹56,₹87.67
20% OFF,fresho!,"fresho!
Orange - Nagpur, Regular
3 x 1 kg - Multipack",No Pack Details,₹401.1,₹501.37
20% OFF,fresho!,"fresho!
Baby Apple Shimla
1 kg",No Pack Details,₹236.71,₹295.89
20% OFF,fresho!,"fresho!
Apple - Shimla, Regular
2x4 pcs - Multipack",No Pack Details,₹363.83,₹454.79
36% OFF,fresho!,"fresho!
Carrot - Orange (Loose)
1 kg",No Pack Details,₹48,₹75.34
26% OFF,fresho!,"fresho!
Banana - Robusta
1 kg",No Pack Details,₹51,₹68.49
49% OFF,fresho!,"fresho!
Beans - Haricot (Loose)
1 kg",No Pack Details,₹52,₹101.37
36% OFF,fresho!,"fresho!
Garlic - Organically Grown (Loose)
500 g",No Pack Details,₹185,₹289.04
49% OFF,fresho!,"fresho!
Tomato - Local, Organically Grown (Loose)
1 kg",No Pack Details,₹25.5,₹50.21
61% OFF,fresho!,"fresho!
Onion - Organically Grown (Loose)
2 kg",No Pack Details,₹79.5,₹201.37
64% OFF,fresho!,"fresho!
Radish - White (Loose)
1 kg",No Pack Details,₹20,₹56.16
