Offer,Company Name,Product Details,Pack Details,Discounted Price,Original Price
20% OFF,Tasties,"Tasties
Pheni
4.1
44 Ratings
100 g - Mono Carton",100 g - Mono Carton,₹79,₹99
40% OFF,MAGGI,"MAGGI
2-Minute Instant Noodles - Masala
4.1
128149 Ratings
140 g - Pouch",No Pack Details,₹16.8,₹28
35% OFF,fresho!,"fresho!
Hot Chips - Spicy Potato Chips
3.8
226 Ratings
100 g",No Pack Details,₹39,₹60
16% OFF,Britannia,"Britannia
Biscuits - Marie Gold
4
17633 Ratings
2x250 g - Multipack",No Pack Details,₹76,₹90
No Offer,Haldiram's,"Haldiram's
Instant Bhel
4.1
6992 Ratings
6x44 g - Multipack",No Pack Details,₹60,No Original Price
18% OFF,Nestle,"Nestle
KitKat Share & Snap 2x3 Fingers Wafer Bar
4.2
9871 Ratings
2 x 57 g - Multipack",No Pack Details,₹90,₹110
32% OFF,Precia,"Precia
Purani Dilli Rabdi / Rabri
125 g - Sweets",125 g - Sweets,₹85,₹125
No Offer,Safal,"Safal
Frozen - Green Peas
3.8
22712 Ratings
1 kg - Pouch",No Pack Details,₹240,No Original Price
16% OFF,Britannia,"Britannia
50-50 Maska Chaska Salted Biscuits
4.1
7577 Ratings
300 g",No Pack Details,₹84,₹100
34% OFF,bb Royal,"bb Royal
Muesli Breakfast Cereal - With Multigrain & 21% Fruit & Nut
3.9
2005 Ratings
500 g",No Pack Details,₹239,₹360
6% OFF,Haldiram's,"Haldiram's
Namkeen - Bhujia Sev
4.1
13809 Ratings
6x40 g - Multipack",No Pack Details,₹56.4,₹60
17% OFF,Kellogg's,"Kellogg's
Muesli Fruit & Nut
4.2
8647 Ratings
2 x 750 g - Multipack",No Pack Details,₹858.62,₹1040
30% OFF,Cadbury Oreo,"Cadbury Oreo
Pokemon Original Vanilla Flavoured Sandwich Biscuit
4
7283 Ratings
876.75 g - (7 Packs x 125.25 g Each)",No Pack Details,₹210,₹300
21% OFF,Britannia,"Britannia
nutri choice Digestive Zero (No Maida & Zero Added Sugar)
4.1
6759 Ratings
6x 100 g - Multipack",No Pack Details,₹166.7,₹210
38% OFF,bb Royal,"bb Royal
Elbow Macaroni
4
2677 Ratings
400 g - Pouch",No Pack Details,₹37,₹60
